成功解析 31 個模組。
--- Starting Single-Pass Warm-up & Weight Calculation ---
Total samples for warm-up: 5000
Accurate time per iteration: 0.0207342 ms
Average Area/AR cost: 520466
Average INL cost: 118832
First round. 
Calculated weights -> w_area: 1, w_inl: 4.37985
Adaptive SA params (Strategy B): max_iter=310, cooling_rate=0.999872, num_steps=89854
Temp: 10000.00, Best Cost: 31423.7838, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9998.72, Best Cost: 31423.7838, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9997.44, Best Cost: 30719.7965, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9996.16, Best Cost: 30719.7965, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 9994.88, Best Cost: 30719.7965, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 9993.60, Best Cost: 30719.7965, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 9992.32, Best Cost: 30719.7965, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 9991.03, Best Cost: 30719.7965, Round Elapsed time: 0.01 s, probability_avg : 0.29
Temp: 9989.75, Best Cost: 30719.7965, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9988.48, Best Cost: 30719.7965, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 9987.20, Best Cost: 30719.7965, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 9985.92, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.39
Temp: 9984.64, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9983.36, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.37
Temp: 9982.08, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9980.80, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.31
Temp: 9979.52, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 9978.24, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9976.96, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9975.69, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 9974.41, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.30
Temp: 9973.13, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9971.85, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.36
Temp: 9970.57, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9969.30, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9968.02, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 9966.74, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.38
Temp: 9965.46, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9964.19, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9962.91, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.34
Temp: 9961.64, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.35
Temp: 9960.36, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.33
No improvement for 10 steps. Applying punishing cooldown.
Temp: 9660.27, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9659.03, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9657.80, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9656.56, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9655.32, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9654.08, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9652.85, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.33
Temp: 9651.61, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.32
Temp: 9650.37, Best Cost: 28199.0689, Round Elapsed time: 0.01 s, probability_avg : 0.36
